,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,in_iM,y_ome
b0170,tsf,U00096.3,,190857,191708,+,protein chain elongation factor EF-Ts,"Translation, ribosomal structure and biogenesis",P0A6P1,Op170,"RpoD,RpsB,ppGpp",False,False
b0171,pyrH,U00096.3,,191855,192580,+,UMP kinase,Nucleotide transport and metabolism,P0A7E9,Op171,RpoD,False,False
b0172,frr,U00096.3,,192872,193429,+,ribosome-recycling factor,"Translation, ribosomal structure and biogenesis",P0A805,Op172,"RpoD,ppGpp",False,False
b0173,dxr,U00096.3,,193521,194717,+,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Lipid transport and metabolism,P45568,Op173,,False,False
b0174,ispU,U00096.3,,194903,195664,+,ditrans%2Cpolycis-undecaprenyl-diphosphate synthase [(2E%2C6E)-farnesyl-diphosphate specific],Lipid transport and metabolism,P60472,Op174,ppGpp,False,False
b0175,cdsA,U00096.3,,195677,196534,+,CDP-diglyceride synthetase,Lipid transport and metabolism,P0ABG1,Op175,ppGpp,False,False
b0176,rseP,U00096.3,,196546,197898,+,intramembrane zinc metalloprotease RseP,Cell wall/membrane/envelope biogenesis,P0AEH1,Op176,RpoE,False,False
b0177,bamA,U00096.3,,197928,200360,+,outer membrane protein assembly factor BamA,Cell wall/membrane/envelope biogenesis,P0A940,Op177,"RpoE,YbiH",False,False
b0178,skp,U00096.3,,200482,200967,+,periplasmic chaperone Skp,Cell wall/membrane/envelope biogenesis,P0AEU7,Op178,"RpoE,cpxQ,GadE,CpxR",False,False
b0179,lpxD,U00096.3,,200971,201996,+,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,Cell wall/membrane/envelope biogenesis,P21645,Op179,"RpoE,GadE,CpxR",False,False
b0180,fabZ,U00096.3,,202101,202556,+,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,Lipid transport and metabolism,P0A6Q6,Op180,"RpoE,GadE,CpxR",False,False
b0181,lpxA,U00096.3,,202560,203348,+,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,Cell wall/membrane/envelope biogenesis,P0A722,Op181,"RpoE,GadE,CpxR",False,False
b0182,lpxB,U00096.3,,203348,204496,+,lipid A disaccharide synthase,Cell wall/membrane/envelope biogenesis,P10441,Op182,"RpoE,ppGpp",False,False
b0183,rnhB,U00096.3,,204493,205089,+,RNase HII,"Replication, recombination and repair",P10442,Op183,"RpoE,ppGpp",False,False
b0184,dnaE,U00096.3,,205126,208608,+,DNA polymerase III subunit alpha,"Replication, recombination and repair",P10443,Op184,"RpoE,ppGpp",False,False
b0185,accA,U00096.3,,208621,209580,+,acetyl-CoA carboxyltransferase subunit alpha,Lipid transport and metabolism,P0ABD5,Op185,"RpoD,FadR,AccDA",False,False
b0186,ldcC,U00096.3,,209679,211820,+,lysine decarboxylase 2,Amino acid transport and metabolism,P52095,Op186,"YfeC,RpoS,GlaR",True,False
b0187,yaeR,U00096.3,,211877,212266,+,VOC domain-containing protein YaeR,Amino acid transport and metabolism,P52096,Op187,,False,True
b0188,tilS,U00096.3,,212331,213629,+,tRNA(Ile)-lysidine synthetase,"Translation, ribosomal structure and biogenesis",P52097,Op188,,False,False
b0189,rof,U00096.3,,213678,213932,-,modulator of Rho-dependent transcription termination,Transcription,P0AFW8,Op189,"YidZ,Crp,ppGpp",False,True
b4406,yaeP,U00096.3,,213925,214125,-,PF06786 family protein YaeP,Function unknown,P0A8K5,Op190,"Crp,ppGpp",True,True
b0190,yaeQ,U00096.3,,214291,214836,+,uncharacterized protein YaeQ,Function unknown,P0AA97,Op191,"Crp,Lrp",False,True
b0191,arfB,U00096.3,,214833,215255,+,peptidyl-tRNA hydrolase%2C ribosome rescue factor,"Translation, ribosomal structure and biogenesis",P40711,Op192,Crp,False,False
b0192,nlpE,U00096.3,,215269,215979,+,sensor lipoprotein NlpE,Cell wall/membrane/envelope biogenesis,P40710,Op193,"Crp,Nac",False,False
b0193,yaeF,U00096.3,,216179,217003,-,peptidase C92 family protein YaeF,Cell wall/membrane/envelope biogenesis,P37056,Op194,Nac,False,True
b0194,proS,U00096.3,,217057,218775,-,proline--tRNA ligase,"Translation, ribosomal structure and biogenesis",P16659,Op195,RpoD,False,False
b0195,trmO,U00096.3,,218887,219594,-,tRNA m(6)t(6)A37 methyltransferase,Function unknown,P28634,Op196,,False,False
b0196,rcsF,U00096.3,,219591,219995,-,sensor lipoprotein RcsF,Cell wall/membrane/envelope biogenesis,P69411,Op197,,False,False
b0197,metQ,U00096.3,,220113,220928,-,L-methionine/D-methionine ABC transporter membrane anchored binding protein,Inorganic ion transport and metabolism,P28635,Op198,"RpoD,MetJ,HypT",True,False
b0198,metI,U00096.3,,220968,221621,-,L-methionine/D-methionine ABC transporter membrane subunit,Inorganic ion transport and metabolism,P31547,Op199,"RpoD,MetJ,ppGpp,HypT",True,False
b0199,metN,U00096.3,,221614,222645,-,L-methionine/D-methionine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P30750,Op200,"RpoD,MetJ,ppGpp,HypT",True,False
b0200,gmhB,U00096.3,,222833,223408,+,D-glycero-beta-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase,Nucleotide transport and metabolism,P63228,Op201,,False,False
b0207,dkgB,U00096.3,,229167,229970,+,methylglyoxal reductase DkgB,Function unknown,P30863,Op202,"RpoS,NsrR",False,False
b0208,yafC,U00096.3,,229967,230881,-,DNA-binding transcriptional regulator YafC,Transcription,P30864,Op203,"YafC,ppGpp,Nac",False,True
b0209,yafD,U00096.3,,231122,231922,+,endonuclease/exonuclease/phosphatase domain-containing protein YafD,Function unknown,P0A8U2,Op204,"RpoH,ppGpp,Nac",False,True
b0210,yafE,U00096.3,,231926,232549,+,putative S-adenosylmethionine-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",P30866,Op205,RpoH,False,True
b0211,mltD,U00096.3,,232597,233955,-,membrane-bound lytic murein transglycosylase D,Cell wall/membrane/envelope biogenesis,P0AEZ7,Op206,"YdcN,ppGpp,Nac",False,False
b0212,gloB,U00096.3,,234027,234782,-,hydroxyacylglutathione hydrolase GloB,Function unknown,P0AC84,Op207,,False,False
b4815,ykfO,U00096.3,,234288,234320,+,protein YkfO,No COG annotation,P0DUW0,Op208,,False,False
b0213,yafS,U00096.3,,234816,235538,+,putative S-adenosyl-L-methionine-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",P75672,Op209,,False,True
b0214,rnhA,U00096.3,,235535,236002,-,ribonuclease HI,"Replication, recombination and repair",P0A7Y4,Op210,,False,False
b0215,dnaQ,U00096.3,,236067,236798,+,DNA polymerase III subunit epsilon,"Replication, recombination and repair",P03007,Op211,,False,False
b0217,yafT,U00096.3,,237335,238120,+,lipoprotein YafT,No COG annotation,P77339,Op212,ppGpp,False,True
b4586,ykfM,U00096.3,,238257,238736,-,uncharacterized protein YkfM,No COG annotation,A5A605,Op213,ppGpp,False,True
b0219,yafV,U00096.3,,239419,240189,-,2-oxoglutaramate amidase,Function unknown,Q47679,Op214,"ppGpp,Nac",False,False
b0220,ivy,U00096.3,,240343,240816,+,periplasmic chaperone%2C inhibitor of vertebrate C-type lysozyme,"Post-translational modification, protein turnover, and chaperones",P0AD59,Op215,"ppGpp,Nac",False,False
b0221,fadE,U00096.3,,240859,243303,-,acyl-CoA dehydrogenase,Lipid transport and metabolism,Q47146,Op216,"ArcA,ppGpp,FadR,OmpR",True,False
b0222,gmhA,U00096.3,,243543,244121,+,D-sedoheptulose 7-phosphate isomerase,Carbohydrate transport and metabolism,P63224,Op217,OmpR,False,False
b0223,yafJ,U00096.3,,244327,245094,+,putative glutamine amidotransferase YafJ,Function unknown,Q47147,Op218,,False,True
b0224,dpaA,U00096.3,,245065,245805,-,peptidoglycan meso-diaminopimelic acid protein amidase A,Cell wall/membrane/envelope biogenesis,P0AA99,Op219,Nac,False,True
b0225,yafQ,U00096.3,,245961,246239,-,ribosome-dependent mRNA interferase toxin YafQ,Function unknown,Q47149,Op220,"RpoD,YfeC,LexA,DinJ-YafQ,Nac",False,False
b0226,dinJ,U00096.3,,246242,246502,-,antitoxin/DNA-binding transcriptional repressor DinJ,Transcription,Q47150,Op221,"RpoD,LexA,DinJ-YafQ,Nac",True,False
b0227,yafL,U00096.3,,246712,247461,+,NlpC/P60 family protein YafL,Cell wall/membrane/envelope biogenesis,Q47151,Op222,,False,True
b0228,rayT,U00096.3,,247637,248134,+,REP-associated tyrosine transposase,"Replication, recombination and repair",Q47152,Op223,ppGpp,False,False
b0231,dinB,U00096.3,,250898,251953,+,DNA polymerase IV,"Replication, recombination and repair",Q47155,Op224,"RpoD,YcjW,RpoS,LexA",True,False
b0232,yafN,U00096.3,,252005,252298,+,antitoxin YafN,"Cell cycle control, cell division, chromosome partitioning",Q47156,Op225,"RpoD,RpoS,LexA,Nac",False,False
b0233,yafO,U00096.3,,252301,252699,+,ribosome-dependent mRNA interferase toxin YafO,Function unknown,Q47157,Op226,"RpoD,YihW,RpoS,LexA,Nac",False,False
b0234,yafP,U00096.3,,252709,253161,+,putative N-acetyltransferase YafP,Transcription,Q47158,Op227,"RpoD,RpoS,LexA",False,True
b0237,pepD,U00096.3,,254259,255716,-,peptidase D,Amino acid transport and metabolism,P15288,Op228,"RpoD,CsgD,Lrp",False,False
b0238,gpt,U00096.3,,255977,256435,+,xanthine-guanine phsophoribosyltransferase,Nucleotide transport and metabolism,P0A9M5,Op229,"RpoD,ppGpp,Lrp",False,False
b0239,frsA,U00096.3,,256527,257771,+,fermentation-respiration switch protein,Function unknown,P04335,Op230,"RpoD,YfeC",False,False
b0240,crl,U00096.3,,257829,257899,+,RNA polymerase holoenzyme assembly factor Crl,No COG annotation,,Op231,,False,False
b4710,insB9,U00096.3,,257923,258426,-,IS1 family transposase B,"Replication, recombination and repair",A0A385XJL4,Op232,,False,False
b4709,insA9,U00096.3,,258345,258620,-,IS1 family repressor TnpA,"Replication, recombination and repair",A0A385XJ53,Op233,,False,False
b0241,phoE,U00096.3,,259045,260100,-,outer membrane porin PhoE,Cell wall/membrane/envelope biogenesis,P02932,Op234,"RpoD,PhoB,micF",False,False
b0242,proB,U00096.3,,260388,261491,+,glutamate 5-kinase,Nucleotide transport and metabolism,P0A7B5,Op235,,False,False
b0243,proA,U00096.3,,261503,262756,+,glutamate-5-semialdehyde dehydrogenase,Amino acid transport and metabolism,P07004,Op236,,False,False
b0245,ykfI,U00096.3,,263328,263669,-,toxin of the YkfI-YafW toxin-antitoxin system,Function unknown,P77692,Op237,"FliA,ppGpp",False,True
b0246,yafW,U00096.3,,263690,264007,-,antitoxin of the YkfI-YafW toxin-antitoxin pair,Function unknown,Q47684,Op238,"FliA,ppGpp",False,False
b4504,ykfH,U00096.3,,264026,264247,-,DUF987 domain-containing protein YkfH,Function unknown,Q9XB42,Op239,FliA,False,True
b0247,ykfG,U00096.3,,264256,264732,-,RadC-like JAB domain-containing protein YkfG,Amino acid transport and metabolism,Q47685,Op240,"YbaQ,FliA",True,True
b0248,yafX,U00096.3,,264748,265206,-,protein YafX,Function unknown,P75676,Op241,FliA,False,True
b0249,ykfF,U00096.3,,265304,265543,-,protein YkfF,Function unknown,P75677,Op242,FliA,False,True
b0250,ykfB,U00096.3,,265620,266087,-,protein YkfB,No COG annotation,P77162,Op243,"omrA,FliA,ppGpp",False,True
b0251,yafY,U00096.3,,266110,266553,-,inner membrane lipoprotein YafY,Transcription,P77365,Op244,,False,True
b0252,yafZ,U00096.3,,267184,268005,-,DUF932 domain-containing protein YafZ,Function unknown,P77206,Op245,,False,True
b0253,ykfA,U00096.3,,268097,268960,-,putative GTP-binding protein YkfA,Function unknown,P75678,Op246,,False,True
b0254,perR,U00096.3,,269289,270182,-,putative transcriptional regulator PerR,Transcription,Q57083,Op247,,False,True
b4587,insN,U00096.3,,270278,270540,+,IS911A regulator fragment,"Translation, ribosomal structure and biogenesis",,Op248,RpoS,False,False
b0256,insI1,U00096.3,,270603,271754,+,IS30 family transposase,"Replication, recombination and repair",P0CF88,Op249,"RpoS,ppGpp,RpoS",False,False
b0258,ykfC,U00096.3,,272847,273992,+,PF00078 domain-containing protein YkfC,"Replication, recombination and repair",Q47688,Op250,YciT,False,False
b0259,insH1,U00096.3,,274101,275081,-,IS5 family transposase and trans-activator,"Replication, recombination and repair",P0CE49,Op251,,False,False
b0260,mmuP,U00096.3,,275325,276728,+,S-methyl-L-methionine transporter,Amino acid transport and metabolism,Q47689,Op252,,True,False
b0261,mmuM,U00096.3,,276715,277647,+,homocysteine S-methyltransferase,Amino acid transport and metabolism,Q47690,Op253,,True,False
b0262,afuC,U00096.3,,277756,278802,-,ABC transporter ATP-binding protein AfuC,Amino acid transport and metabolism,P37009,Op254,,False,True
b0264,insB2,U00096.3,,279178,279681,-,IS1 family protein InsB,"Replication, recombination and repair",P0CF26,Op255,,False,False
b0265,insA2,U00096.3,,279600,279875,-,IS1 family protein InsA,"Replication, recombination and repair",P0CF08,Op256,,False,False
b0266,yagB,U00096.3,,280385,280735,-,orphan antitoxin YagB,Function unknown,P37008,Op257,XynR,False,False
b0267,yagA,U00096.3,,280829,281983,-,integrase core domain-containing protein YagA,"Replication, recombination and repair",P37007,Op258,XynR,True,True
b0268,yagE,U00096.3,,282278,283186,+,putative 2-dehydro-3-deoxygluconate aldolase,Amino acid transport and metabolism,P75682,Op259,XynR,False,False
b0269,yagF,U00096.3,,283201,285168,+,D-xylonate dehydratase,Amino acid transport and metabolism,P77596,Op260,XynR,False,False
b0270,yagG,U00096.3,,285395,286777,+,putative D-xylonate transporter YagG,Carbohydrate transport and metabolism,P75683,Op261,,True,True
b0271,yagH,U00096.3,,286789,288399,+,putative xylosidase/arabinosidase,Carbohydrate transport and metabolism,P77713,Op262,ppGpp,True,True
b0272,xynR,U00096.3,,288404,289162,-,DNA-binding transcriptional repressor XynR,Transcription,P77300,Op263,,False,True
b0273,argF,U00096.3,,289301,290305,-,ornithine carbamoyltransferase ArgF,Amino acid transport and metabolism,P06960,Op264,"RpoD,ArgR,ppGpp",True,False
b4766,argL,U00096.3,,290275,290370,-,putative translational regulatory protein ArgL,No COG annotation,P0DSE4,Op265,,False,False
b4688,ykgS,U00096.3,,290510,290638,+,protein YkgS,No COG annotation,P0DPM8,Op266,,False,False
b0274,insB3,U00096.3,,290649,291152,-,IS1 family protein InsB,"Replication, recombination and repair",P0CF27,Op267,,False,False
b0275,insA3,U00096.3,,291071,291346,-,IS1 family protein InsA,"Replication, recombination and repair",P0CF09,Op268,,False,False
b0276,yagJ,U00096.3,,291500,292231,+,protein YagJ,Transcription,P77169,Op269,,True,False
b0277,yagK,U00096.3,,292322,292948,-,uncharacterized protein YagK,Function unknown,P77657,Op270,"RpoD,RcdA",False,True
b0278,yagL,U00096.3,,293220,293918,-,resolvase-like catalytic domain-containing protein YagL,"Replication, recombination and repair",P77607,Op271,,False,True
b0279,yagM,U00096.3,,293945,294799,-,protein YagM,No COG annotation,P71296,Op272,,False,True
b4729,ykgV,U00096.3,,294918,295142,-,protein YkgV,No COG annotation,P0DPM9,Op273,,False,False
b0280,yagN,U00096.3,,295139,295579,-,protein YagN,No COG annotation,P71297,Op274,ppGpp,False,True
b0281,intF,U00096.3,,295696,297096,-,putative phage integrase,"Translation, ribosomal structure and biogenesis",P71298,Op275,,False,True
b0282,yagP,U00096.3,,297381,297791,-,putative LysR family substrate binding domain-containing protein YagP,Transcription,P75684,Op276,YidZ,False,True
b0283,paoD,U00096.3,,297770,298726,-,molybdenum cofactor insertion chaperone PaoD,"Post-translational modification, protein turnover, and chaperones",P77183,Op277,,False,True
b0284,paoC,U00096.3,,298736,300934,-,aldehyde dehydrogenase: molybdenum cofactor-binding subunit,Nucleotide transport and metabolism,P77489,Op278,,False,False
b0285,paoB,U00096.3,,300931,301887,-,aldehyde dehydrogenase%2C FAD-binding subunit,Nucleotide transport and metabolism,P77324,Op279,,True,False
b0286,paoA,U00096.3,,301884,302573,-,aldehyde dehydrogenase%2C Fe-S subunit,Nucleotide transport and metabolism,P77165,Op280,,False,False
b0287,yagU,U00096.3,,302991,303605,+,DUF1440 domain-containing inner membrane protein YagU,Function unknown,P0AAA1,Op281,"YfeC,YfeD,ppGpp,Lrp,Nac",True,True
b0288,ykgJ,U00096.3,,303853,304182,-,putative metal-chelating domain-containing protein YkgJ,Function unknown,P0AAL9,Op282,,False,True
b0289,ecpE,U00096.3,,304495,305205,-,putative fimbrial chaperone EcpE,Cell motility,P77263,Op283,YbiH,False,False
b0290,ecpD,U00096.3,,305174,306817,-,fimbrial adhesin EcpD,Function unknown,P77694,Op284,,False,False
b0291,ecpC,U00096.3,,306807,309332,-,putative fimbrial usher protein EcpC,Cell motility,P77802,Op285,,False,False
b0292,ecpB,U00096.3,,309358,310026,-,putative fimbrial chaperone EcpB,Cell wall/membrane/envelope biogenesis,P77188,Op286,,False,False
b0293,ecpA,U00096.3,,310084,310671,-,common pilus major subunit,Function unknown,P0AAA3,Op287,"RpoD,EcpR",False,False
b0294,matA,U00096.3,,310746,311336,-,DNA-binding transcriptional dual regulator MatA,Transcription,P71301,Op288,"RpoE,EcpR",False,False
b0295,ykgL,U00096.3,,312112,312339,+,uncharacterized protein YkgL,No COG annotation,P56257,Op289,Nac,True,True
b4506,ykgO,U00096.3,,312374,312514,-,50S ribosomal subunit protein L36B,"Translation, ribosomal structure and biogenesis",Q2EEQ2,Op290,"RpoD,Zur",True,True
b0296,ykgM,U00096.3,,312514,312777,-,50S ribosomal subunit protein L31B,"Translation, ribosomal structure and biogenesis",P0A7N1,Op291,"RpoD,Zur",True,True
b4671,ykgR,U00096.3,,313141,313242,-,putative membrane protein YkgR,No COG annotation,C1P5Z8,Op292,"RpoD,Crp",True,True
b0298,insE1,U00096.3,,315291,315590,+,IS3 element protein InsE,"Replication, recombination and repair",P0CF66,Op293,,False,False
b0299,insF1,U00096.3,,315587,316453,+,IS3 element protein InsF,"Replication, recombination and repair",P0CF79,Op294,,False,False
b0301,rclC,U00096.3,,317726,318319,-,DUF417 domain-containing inner membrane protein RclC,Function unknown,P75685,Op295,"omrB,RpoE,RclR",False,True
b0303,rclB,U00096.3,,318331,318567,-,DUF1471 domain-containing protein RclB,Function unknown,P75687,Op296,"omrB,RpoE,RclR",False,True
b0304,rclA,U00096.3,,318676,320001,-,cupric reductase RclA,Energy production and conversion,P77212,Op297,"omrA,omrB,RpoE,RclR",True,True
b0305,rclR,U00096.3,,320227,321081,+,DNA-binding transcriptional activator RclR,Transcription,P77379,Op298,,False,False
b0306,ykgE,U00096.3,,321608,322327,+,putative lactate utilization oxidoreductase YkgE,Energy production and conversion,P77252,Op299,"YieP,Lrp,Nac",False,True
b0307,ykgF,U00096.3,,322338,323765,+,putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,Energy production and conversion,P77536,Op300,"YieP,ppGpp",False,True
b0308,ykgG,U00096.3,,323758,324453,+,DUF162 domain-containing lactate utilization protein YkgG,Function unknown,P77433,Op301,YieP,False,True
b0310,ykgH,U00096.3,,324696,325364,-,uncharacterized protein YkgH,No COG annotation,P77180,Op302,Nac,False,True
b0311,betA,U00096.3,,325577,327247,-,choline dehydrogenase,Amino acid transport and metabolism,P17444,Op303,"RpoD,ArcA,Cra,BetI,ppGpp",False,False
b0312,betB,U00096.3,,327261,328733,-,betaine aldehyde dehydrogenase,Energy production and conversion,P17445,Op304,"RpoD,ArcA,Cra,BetI,ppGpp",False,False
b0313,betI,U00096.3,,328747,329334,-,DNA-binding transcriptional repressor BetI,Transcription,P17446,Op305,"RpoD,ArcA,Cra,BetI,ppGpp",False,False
b0314,betT,U00096.3,,329463,331496,+,choline:H(+) symporter,Cell wall/membrane/envelope biogenesis,P0ABC9,Op306,"RpoD,ArcA,Cra,BetI",False,False
b4730,yahV,U00096.3,,331802,331876,+,protein YahV,No COG annotation,P0DPN0,Op307,,True,False
b0315,pdeL,U00096.3,,332371,333459,+,DNA-binding transcriptional regulator/c-di-GMP phosphodiesterase PdeL,Transcription,P21514,Op308,"RpoD,ppGpp,Cra,PdeL,Nac",True,False
b0316,yahB,U00096.3,,333501,334433,-,putative LysR-type DNA-binding transcriptional regulator YahB,Transcription,P77700,Op309,,False,True
b0317,yahC,U00096.3,,334525,335022,-,uncharacterized protein YahC,Function unknown,P77219,Op310,YfeC,False,True
b0318,yahD,U00096.3,,335280,335885,+,ankyrin repeat-containing protein YahD,Function unknown,P77736,Op311,,False,True
b0319,yahE,U00096.3,,335925,336788,+,DUF2877 domain-containing protein YahE,Function unknown,P77297,Op312,RpoN,False,True
b0320,yahF,U00096.3,,336778,338325,+,putative acyl-CoA synthetase YahF,Energy production and conversion,P77187,Op313,,False,True
