locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
b0225,yafQ,U00096.3,,245961,246239,-,ribosome-dependent mRNA interferase toxin YafQ,Function unknown,Q47149,Op220
b0226,dinJ,U00096.3,,246242,246502,-,antitoxin/DNA-binding transcriptional repressor DinJ,Transcription,Q47150,Op221
b0227,yafL,U00096.3,,246712,247461,+,NlpC/P60 family protein YafL,Cell wall/membrane/envelope biogenesis,Q47151,Op222
b0228,rayT,U00096.3,,247637,248134,+,REP-associated tyrosine transposase,"Replication, recombination and repair",Q47152,Op223
b0231,dinB,U00096.3,,250898,251953,+,DNA polymerase IV,"Replication, recombination and repair",Q47155,Op224
b0232,yafN,U00096.3,,252005,252298,+,antitoxin YafN,"Cell cycle control, cell division, chromosome partitioning",Q47156,Op225
b0233,yafO,U00096.3,,252301,252699,+,ribosome-dependent mRNA interferase toxin YafO,Function unknown,Q47157,Op226
b0234,yafP,U00096.3,,252709,253161,+,putative N-acetyltransferase YafP,Transcription,Q47158,Op227
b0237,pepD,U00096.3,,254259,255716,-,peptidase D,Amino acid transport and metabolism,P15288,Op228
b0238,gpt,U00096.3,,255977,256435,+,xanthine-guanine phsophoribosyltransferase,Nucleotide transport and metabolism,P0A9M5,Op229
b0239,frsA,U00096.3,,256527,257771,+,fermentation-respiration switch protein,Function unknown,P04335,Op230
b0240,crl,U00096.3,,257829,257899,+,RNA polymerase holoenzyme assembly factor Crl,No COG annotation,,Op231
b4710,insB9,U00096.3,,257923,258426,-,IS1 family transposase B,"Replication, recombination and repair",A0A385XJL4,Op232
b4709,insA9,U00096.3,,258345,258620,-,IS1 family repressor TnpA,"Replication, recombination and repair",A0A385XJ53,Op233
b0241,phoE,U00096.3,,259045,260100,-,outer membrane porin PhoE,Cell wall/membrane/envelope biogenesis,P02932,Op234
b0242,proB,U00096.3,,260388,261491,+,glutamate 5-kinase,Nucleotide transport and metabolism,P0A7B5,Op235
b0243,proA,U00096.3,,261503,262756,+,glutamate-5-semialdehyde dehydrogenase,Amino acid transport and metabolism,P07004,Op236
b0245,ykfI,U00096.3,,263328,263669,-,toxin of the YkfI-YafW toxin-antitoxin system,Function unknown,P77692,Op237
b0246,yafW,U00096.3,,263690,264007,-,antitoxin of the YkfI-YafW toxin-antitoxin pair,Function unknown,Q47684,Op238
b4504,ykfH,U00096.3,,264026,264247,-,DUF987 domain-containing protein YkfH,Function unknown,Q9XB42,Op239
b0247,ykfG,U00096.3,,264256,264732,-,RadC-like JAB domain-containing protein YkfG,Amino acid transport and metabolism,Q47685,Op240
b0248,yafX,U00096.3,,264748,265206,-,protein YafX,Function unknown,P75676,Op241
b0249,ykfF,U00096.3,,265304,265543,-,protein YkfF,Function unknown,P75677,Op242
b0250,ykfB,U00096.3,,265620,266087,-,protein YkfB,No COG annotation,P77162,Op243
b0251,yafY,U00096.3,,266110,266553,-,inner membrane lipoprotein YafY,Transcription,P77365,Op244
b0252,yafZ,U00096.3,,267184,268005,-,DUF932 domain-containing protein YafZ,Function unknown,P77206,Op245
b0253,ykfA,U00096.3,,268097,268960,-,putative GTP-binding protein YkfA,Function unknown,P75678,Op246
b0254,perR,U00096.3,,269289,270182,-,putative transcriptional regulator PerR,Transcription,Q57083,Op247
b4587,insN,U00096.3,,270278,270540,+,IS911A regulator fragment,"Translation, ribosomal structure and biogenesis",,Op248
b0256,insI1,U00096.3,,270603,271754,+,IS30 family transposase,"Replication, recombination and repair",P0CF88,Op249
b0258,ykfC,U00096.3,,272847,273992,+,PF00078 domain-containing protein YkfC,"Replication, recombination and repair",Q47688,Op250
b0259,insH1,U00096.3,,274101,275081,-,IS5 family transposase and trans-activator,"Replication, recombination and repair",P0CE49,Op251
b0260,mmuP,U00096.3,,275325,276728,+,S-methyl-L-methionine transporter,Amino acid transport and metabolism,Q47689,Op252
b0261,mmuM,U00096.3,,276715,277647,+,homocysteine S-methyltransferase,Amino acid transport and metabolism,Q47690,Op253
b0262,afuC,U00096.3,,277756,278802,-,ABC transporter ATP-binding protein AfuC,Amino acid transport and metabolism,P37009,Op254
b0264,insB2,U00096.3,,279178,279681,-,IS1 family protein InsB,"Replication, recombination and repair",P0CF26,Op255
b0265,insA2,U00096.3,,279600,279875,-,IS1 family protein InsA,"Replication, recombination and repair",P0CF08,Op256
b0266,yagB,U00096.3,,280385,280735,-,orphan antitoxin YagB,Function unknown,P37008,Op257
b0267,yagA,U00096.3,,280829,281983,-,integrase core domain-containing protein YagA,"Replication, recombination and repair",P37007,Op258
b0268,yagE,U00096.3,,282278,283186,+,putative 2-dehydro-3-deoxygluconate aldolase,Amino acid transport and metabolism,P75682,Op259
b0269,yagF,U00096.3,,283201,285168,+,D-xylonate dehydratase,Amino acid transport and metabolism,P77596,Op260
b0270,yagG,U00096.3,,285395,286777,+,putative D-xylonate transporter YagG,Carbohydrate transport and metabolism,P75683,Op261
b0271,yagH,U00096.3,,286789,288399,+,putative xylosidase/arabinosidase,Carbohydrate transport and metabolism,P77713,Op262
b0272,xynR,U00096.3,,288404,289162,-,DNA-binding transcriptional repressor XynR,Transcription,P77300,Op263
b0273,argF,U00096.3,,289301,290305,-,ornithine carbamoyltransferase ArgF,Amino acid transport and metabolism,P06960,Op264
b4766,argL,U00096.3,,290275,290370,-,putative translational regulatory protein ArgL,No COG annotation,P0DSE4,Op265
b4688,ykgS,U00096.3,,290510,290638,+,protein YkgS,No COG annotation,P0DPM8,Op266
b0274,insB3,U00096.3,,290649,291152,-,IS1 family protein InsB,"Replication, recombination and repair",P0CF27,Op267
b0275,insA3,U00096.3,,291071,291346,-,IS1 family protein InsA,"Replication, recombination and repair",P0CF09,Op268
b0276,yagJ,U00096.3,,291500,292231,+,protein YagJ,Transcription,P77169,Op269
b0277,yagK,U00096.3,,292322,292948,-,uncharacterized protein YagK,Function unknown,P77657,Op270
b0278,yagL,U00096.3,,293220,293918,-,resolvase-like catalytic domain-containing protein YagL,"Replication, recombination and repair",P77607,Op271
b0279,yagM,U00096.3,,293945,294799,-,protein YagM,No COG annotation,P71296,Op272
b4729,ykgV,U00096.3,,294918,295142,-,protein YkgV,No COG annotation,P0DPM9,Op273
b0280,yagN,U00096.3,,295139,295579,-,protein YagN,No COG annotation,P71297,Op274
b0281,intF,U00096.3,,295696,297096,-,putative phage integrase,"Translation, ribosomal structure and biogenesis",P71298,Op275
b0282,yagP,U00096.3,,297381,297791,-,putative LysR family substrate binding domain-containing protein YagP,Transcription,P75684,Op276
b0283,paoD,U00096.3,,297770,298726,-,molybdenum cofactor insertion chaperone PaoD,"Post-translational modification, protein turnover, and chaperones",P77183,Op277
b0284,paoC,U00096.3,,298736,300934,-,aldehyde dehydrogenase: molybdenum cofactor-binding subunit,Nucleotide transport and metabolism,P77489,Op278
b0285,paoB,U00096.3,,300931,301887,-,aldehyde dehydrogenase%2C FAD-binding subunit,Nucleotide transport and metabolism,P77324,Op279
b0286,paoA,U00096.3,,301884,302573,-,aldehyde dehydrogenase%2C Fe-S subunit,Nucleotide transport and metabolism,P77165,Op280
b0287,yagU,U00096.3,,302991,303605,+,DUF1440 domain-containing inner membrane protein YagU,Function unknown,P0AAA1,Op281
b0288,ykgJ,U00096.3,,303853,304182,-,putative metal-chelating domain-containing protein YkgJ,Function unknown,P0AAL9,Op282
b0289,ecpE,U00096.3,,304495,305205,-,putative fimbrial chaperone EcpE,Cell motility,P77263,Op283
b0290,ecpD,U00096.3,,305174,306817,-,fimbrial adhesin EcpD,Function unknown,P77694,Op284
b0291,ecpC,U00096.3,,306807,309332,-,putative fimbrial usher protein EcpC,Cell motility,P77802,Op285
b0292,ecpB,U00096.3,,309358,310026,-,putative fimbrial chaperone EcpB,Cell wall/membrane/envelope biogenesis,P77188,Op286
b0293,ecpA,U00096.3,,310084,310671,-,common pilus major subunit,Function unknown,P0AAA3,Op287
b0294,matA,U00096.3,,310746,311336,-,DNA-binding transcriptional dual regulator MatA,Transcription,P71301,Op288
b0295,ykgL,U00096.3,,312112,312339,+,uncharacterized protein YkgL,No COG annotation,P56257,Op289
b4506,ykgO,U00096.3,,312374,312514,-,50S ribosomal subunit protein L36B,"Translation, ribosomal structure and biogenesis",Q2EEQ2,Op290
b0296,ykgM,U00096.3,,312514,312777,-,50S ribosomal subunit protein L31B,"Translation, ribosomal structure and biogenesis",P0A7N1,Op291
b4671,ykgR,U00096.3,,313141,313242,-,putative membrane protein YkgR,No COG annotation,C1P5Z8,Op292
b0298,insE1,U00096.3,,315291,315590,+,IS3 element protein InsE,"Replication, recombination and repair",P0CF66,Op293
b0299,insF1,U00096.3,,315587,316453,+,IS3 element protein InsF,"Replication, recombination and repair",P0CF79,Op294
b0301,rclC,U00096.3,,317726,318319,-,DUF417 domain-containing inner membrane protein RclC,Function unknown,P75685,Op295
b0303,rclB,U00096.3,,318331,318567,-,DUF1471 domain-containing protein RclB,Function unknown,P75687,Op296
b0304,rclA,U00096.3,,318676,320001,-,cupric reductase RclA,Energy production and conversion,P77212,Op297
b0305,rclR,U00096.3,,320227,321081,+,DNA-binding transcriptional activator RclR,Transcription,P77379,Op298
b0306,ykgE,U00096.3,,321608,322327,+,putative lactate utilization oxidoreductase YkgE,Energy production and conversion,P77252,Op299
b0307,ykgF,U00096.3,,322338,323765,+,putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,Energy production and conversion,P77536,Op300
b0308,ykgG,U00096.3,,323758,324453,+,DUF162 domain-containing lactate utilization protein YkgG,Function unknown,P77433,Op301
b0310,ykgH,U00096.3,,324696,325364,-,uncharacterized protein YkgH,No COG annotation,P77180,Op302
b0311,betA,U00096.3,,325577,327247,-,choline dehydrogenase,Amino acid transport and metabolism,P17444,Op303
b0312,betB,U00096.3,,327261,328733,-,betaine aldehyde dehydrogenase,Energy production and conversion,P17445,Op304
b0313,betI,U00096.3,,328747,329334,-,DNA-binding transcriptional repressor BetI,Transcription,P17446,Op305
b0314,betT,U00096.3,,329463,331496,+,choline:H(+) symporter,Cell wall/membrane/envelope biogenesis,P0ABC9,Op306
b4730,yahV,U00096.3,,331802,331876,+,protein YahV,No COG annotation,P0DPN0,Op307
b0315,pdeL,U00096.3,,332371,333459,+,DNA-binding transcriptional regulator/c-di-GMP phosphodiesterase PdeL,Transcription,P21514,Op308
b0316,yahB,U00096.3,,333501,334433,-,putative LysR-type DNA-binding transcriptional regulator YahB,Transcription,P77700,Op309
b0317,yahC,U00096.3,,334525,335022,-,uncharacterized protein YahC,Function unknown,P77219,Op310
b0318,yahD,U00096.3,,335280,335885,+,ankyrin repeat-containing protein YahD,Function unknown,P77736,Op311
b0319,yahE,U00096.3,,335925,336788,+,DUF2877 domain-containing protein YahE,Function unknown,P77297,Op312
b0320,yahF,U00096.3,,336778,338325,+,putative acyl-CoA synthetase YahF,Energy production and conversion,P77187,Op313
b0321,yahG,U00096.3,,338325,339743,+,DUF1116 domain-containing protein YahG,Energy production and conversion,P77221,Op314
b0322,yahH,U00096.3,,339769,340089,+,putative uncharacterized protein YahH,No COG annotation,Q2EEQ3,Op315
b0323,yahI,U00096.3,,340165,341115,+,carbamate kinase-like protein YahI,Amino acid transport and metabolism,P77624,Op316
b0324,yahJ,U00096.3,,341125,342507,+,amidohydrolase family protein YahJ,Nucleotide transport and metabolism,P77554,Op317
b0325,yahK,U00096.3,,342884,343933,+,aldehyde reductase%2C NADPH-dependent,Function unknown,P75691,Op318
b0326,yahL,U00096.3,,344176,344991,+,uncharacterized protein YahL,No COG annotation,P77393,Op319
b0327,yahM,U00096.3,,345404,345649,+,uncharacterized protein YahM,No COG annotation,P75692,Op320
b0328,yahN,U00096.3,,345666,346337,-,putative amino acid exporter YahN,Amino acid transport and metabolism,P75693,Op321
b0329,yahO,U00096.3,,346484,346759,+,DUF1471 domain-containing protein YahO,Function unknown,P75694,Op322
b0330,prpR,U00096.3,,346857,348443,-,DNA-binding transcriptional dual regulator PrpR,Transcription,P77743,Op323
b0331,prpB,U00096.3,,348682,349572,+,2-methylisocitrate lyase,Carbohydrate transport and metabolism,P77541,Op324
b0333,prpC,U00096.3,,350012,351181,+,2-methylcitrate synthase,Energy production and conversion,P31660,Op325
b0334,prpD,U00096.3,,351215,352666,+,2-methylcitrate dehydratase,Function unknown,P77243,Op326
b0335,prpE,U00096.3,,352706,354592,+,propionyl-CoA synthetase,Lipid transport and metabolism,P77495,Op327
b0336,codB,U00096.3,,354922,356181,+,cytosine transporter,Nucleotide transport and metabolism,P0AA82,Op328
b0337,codA,U00096.3,,356171,357454,+,cytosine/isoguanine deaminase,Nucleotide transport and metabolism,P25524,Op329
b0338,cynR,U00096.3,,357791,358690,-,DNA-binding transcriptional dual regulator CynR,Transcription,P27111,Op330
b0339,cynT,U00096.3,,358799,359458,+,carbonic anhydrase 1,Inorganic ion transport and metabolism,P0ABE9,Op331
b0340,cynS,U00096.3,,359489,359959,+,cyanase,Inorganic ion transport and metabolism,P00816,Op332
b0341,cynX,U00096.3,,359992,361146,+,cyanate transporter,Inorganic ion transport and metabolism,P17583,Op333
b0342,lacA,U00096.3,,361249,361860,-,galactoside O-acetyltransferase,Function unknown,P07464,Op334
b0343,lacY,U00096.3,,361926,363179,-,lactose permease,Inorganic ion transport and metabolism,P02920,Op335
b0344,lacZ,U00096.3,,363231,366305,-,beta-galactosidase,Carbohydrate transport and metabolism,P00722,Op336
b0345,lacI,U00096.3,,366428,367510,-,DNA-binding transcriptional repressor LacI,Transcription,P03023,Op337
b0346,mhpR,U00096.3,,367587,368420,-,DNA-binding transcriptional activator MhpR,Transcription,P77569,Op338
b0347,mhpA,U00096.3,,368611,370275,+,3-(3-hydroxyphenyl)propanoate hydroxylase,Energy production and conversion,P77397,Op339
b0348,mhpB,U00096.3,,370277,371221,+,3-carboxyethylcatechol 2%2C3-dioxygenase,Function unknown,P0ABR9,Op340
b0349,mhpC,U00096.3,,371239,372105,+,2-hydroxy-6-ketonona-2%2C4-dienedioate hydrolase,Function unknown,P77044,Op341
b0350,mhpD,U00096.3,,372115,372924,+,2-hydroxypentadienoate hydratase,"Secondary metabolites biosynthesis, transport, and catabolism",P77608,Op342
b0351,mhpF,U00096.3,,372921,373871,+,acetaldehyde dehydrogenase (acetylating) MhpF,"Secondary metabolites biosynthesis, transport, and catabolism",P77580,Op343
b0352,mhpE,U00096.3,,373868,374881,+,4-hydroxy-2-oxovalerate aldolase,Amino acid transport and metabolism,P51020,Op344
b0353,mhpT,U00096.3,,375459,376670,+,3-hydroxyphenylpropionate/3-hydroxycinnamate:H(+) symporter,Inorganic ion transport and metabolism,P77589,Op345
b0354,yaiL,U00096.3,,376772,377311,+,DUF2058 domain-containing protein YaiL,Function unknown,P51024,Op346
b0355,frmB,U00096.3,,377535,378368,-,S-formylglutathione hydrolase FrmB,Function unknown,P51025,Op347
b0356,frmA,U00096.3,,378462,379571,-,S-(hydroxymethyl)glutathione dehydrogenase,Energy production and conversion,P25437,Op348
b0357,frmR,U00096.3,,379606,379881,-,DNA-binding transcriptional repressor FrmR,Transcription,P0AAP3,Op349
b0358,yaiO,U00096.3,,380069,380842,-,outer membrane protein YaiO,No COG annotation,Q47534,Op350
b4579,yaiX,U00096.3,,380844,381260,-,putative acyltransferase%2C N-terminal fragment,"Translation, ribosomal structure and biogenesis",,Op351
b0360,insC1,U00096.3,,381351,381716,+,IS2 element protein InsA,"Replication, recombination and repair",P0CF40,Op352
b0361,insD1,U00096.3,,381674,382579,+,IS2 element protein,"Replication, recombination and repair",P0CF53,Op353
b0363,yaiP,U00096.3,,382739,383935,-,putative glucosyltransferase,Cell wall/membrane/envelope biogenesis,Q47536,Op354
b4731,ykiC,U00096.3,,383960,384079,+,protein YkiC,No COG annotation,P0DPN1,Op355
b0364,yaiS,U00096.3,,384059,384616,-,putative deacetylase YaiS,Function unknown,P71311,Op356
b0365,tauA,U00096.3,,385232,386194,+,taurine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,Q47537,Op357
b0366,tauB,U00096.3,,386207,386974,+,taurine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,Q47538,Op358
b0367,tauC,U00096.3,,386971,387798,+,taurine ABC transporter membrane subunit,Inorganic ion transport and metabolism,Q47539,Op359
b0368,tauD,U00096.3,,387795,388646,+,taurine dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",P37610,Op360
b0369,hemB,U00096.3,,388753,389727,-,porphobilinogen synthase,Coenzyme transport and metabolism,P0ACB2,Op361
b4580,yaiT,U00096.3,,390251,391708,+,putative autotransporter YaiT,Cell wall/membrane/envelope biogenesis,,Op362
b4767,ytiB,U00096.3,,391592,391648,-,protein YtiB,No COG annotation,P0DSE5,Op363
b0372,insF2,U00096.3,,391739,392605,-,IS3 element protein InsF,"Replication, recombination and repair",P0CF80,Op364
b0373,insE2,U00096.3,,392602,392901,-,IS3 element protein InsE,"Replication, recombination and repair",P0CF67,Op365
b0375,iprA,U00096.3,,394506,395129,+,putative DNA-binding transcriptional regulator IprA,Transcription,P0AAP5,Op366
b0376,ampH,U00096.3,,395130,396287,-,peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase,Cell wall/membrane/envelope biogenesis,P0AD70,Op367
b0377,sbmA,U00096.3,,396639,397859,+,peptide antibiotic/peptide nucleic acid transporter,"Intracellular trafficking, secretion, and vesicular transport",P0AFY6,Op368
b0378,yaiW,U00096.3,,397872,398966,+,surface-exposed outer membrane lipoprotein,Function unknown,P77562,Op369
b0379,yaiY,U00096.3,,399025,399333,-,DUF2755 domain-containing inner membrane protein YaiY,Function unknown,P0AAP7,Op370
b0380,yaiZ,U00096.3,,399593,399805,+,DUF2754 domain-containing protein YaiZ,Function unknown,P0AAQ0,Op371
b0381,ddlA,U00096.3,,399829,400923,-,D-alanine--D-alanine ligase A,Nucleotide transport and metabolism,P0A6J8,Op372
b0382,iraP,U00096.3,,401386,401646,+,anti-adaptor protein IraP,"Translation, ribosomal structure and biogenesis",P0AAN9,Op373
b0383,phoA,U00096.3,,401747,403162,+,alkaline phosphatase,Inorganic ion transport and metabolism,P00634,Op374
b0384,psiF,U00096.3,,403281,403601,+,phosphate starvation-inducible protein PsiF,Function unknown,P0AFM4,Op375
b0385,dgcC,U00096.3,,403703,404818,+,diguanylate cyclase DgcC,Signal transduction mechanisms,P0AAP1,Op376
b0386,proC,U00096.3,,404835,405644,-,pyrroline-5-carboxylate reductase,Amino acid transport and metabolism,P0A9L8,Op377
b0387,yaiI,U00096.3,,405764,406222,+,DUF188 domain-containing protein YaiI,Function unknown,P0A8D3,Op378
b0388,aroL,U00096.3,,406405,406929,+,shikimate kinase 2,Nucleotide transport and metabolism,P0A6E1,Op379
